q,ym,tstat,kind,asof,nowcast,nc_sd,naive,actual,implied,naive_implied,price,outcome,pnl,naive_pnl,pf_pnl,vol,ntrades
Will monthly inflation increase by 0.3% in May?,2026-05,MoM,BUCKET,2026-06-07,0.459,0.148,0.318,0.631,0.152,0.138,0.03,0.0,-0.0502,-0.0502,0.0102,9744.420731999999,147
Will annual inflation increase by 2.9% in January?,2026-01,YoY,BUCKET,2026-02-08,2.364,0.157,2.431,2.386,0.001,0.037,0.02,0.0,0.0003,-0.0403,0.0003,9645.583177,186
Will China's monthly inflation increase by ≥0.4% in December,2025-12,MoM,GT,2026-01-07,0.205,0.15,-0.115,-0.021,0.096,0.008,0.12,0.0,0.0996,0.0996,0.0996,9315.652235,80
Will China's annual inflation increase by between 0.1% and 0,2025-12,YoY,RANGE,2026-01-07,2.573,0.158,2.58,2.677,0.0,0.0,0.023,0.0,0.0032,0.0032,0.0032,7327.929831,56
Will the U.K.'s annual inflation increase by 3.1% in Decembe,2025-12,YoY,BUCKET,2026-01-18,2.573,0.158,2.58,2.677,0.001,0.012,0.044,0.0,0.0239,0.0239,0.0239,7259.755415,142
Will China's annual inflation increase by between 0.4% and 0,2025-12,YoY,RANGE,2026-01-07,2.573,0.158,2.58,2.677,0.0,0.0,0.212,0.0,0.192,0.192,0.192,6816.136146,65
Will the U.K.'s annual inflation increase by 3.0% in Decembe,2025-12,YoY,BUCKET,2026-01-18,2.573,0.158,2.58,2.677,0.007,0.031,0.052,0.0,0.0318,0.0318,0.0318,5908.19814,94
Will the U.K.'s annual inflation increase by ≥3.4% in Decemb,2025-12,YoY,GT,2026-01-18,2.573,0.158,2.58,2.677,0.0,0.0,0.387,1.0,-0.6329,-0.6329,-0.6329,5301.562349,132
Will the U.K.'s annual inflation increase by 3.2% in Decembe,2025-12,YoY,BUCKET,2026-01-18,2.573,0.158,2.58,2.677,0.0,0.004,0.234,0.0,0.2141,0.2141,0.2141,5240.422478,126
Will the U.K.'s annual inflation increase by 3.3% in Decembe,2025-12,YoY,BUCKET,2026-01-18,2.573,0.158,2.58,2.677,0.0,0.001,0.335,0.0,0.3151,0.3151,0.3151,4989.653077,127
Will the U.K.'s monthly inflation be 0.1% in December?,2025-12,MoM,BUCKET,2026-01-18,0.205,0.15,-0.115,-0.021,0.207,0.112,0.028,0.0,-0.0481,-0.0481,0.0081,4818.704282,53
Will the U.K.'s monthly inflation be ≥0.3% in December?,2025-12,MoM,GT,2026-01-18,0.205,0.15,-0.115,-0.021,0.262,0.027,0.761,1.0,-0.2587,-0.2587,-0.2587,4556.997784,71
Will the Eurozone's monthly inflation be 0.0% in December?,2025-12,MoM,BUCKET,2026-01-16,0.205,0.15,-0.115,-0.021,0.106,0.159,0.025,0.0,-0.0446,-0.0446,-0.0446,3453.026163,57
Will the Eurozone's monthly inflation be ≥0.3% in December?,2025-12,MoM,GT,2026-01-16,0.205,0.15,-0.115,-0.021,0.262,0.027,0.017,0.0,-0.0365,-0.0365,-0.0035,3414.618659,51
Will Canada's annual inflation increase by ≥2.4% in December,2025-12,YoY,GT,2026-01-16,2.573,0.158,2.58,2.677,0.865,0.792,0.094,1.0,0.8858,0.8858,0.8858,3306.819269,41
Will the U.K.'s monthly inflation be 0.2% in December?,2025-12,MoM,BUCKET,2026-01-18,0.205,0.15,-0.115,-0.021,0.262,0.064,0.107,0.0,-0.1265,0.0865,0.0865,3042.469967,36
Will Canada's monthly inflation increase by ≤0.0% in Decembe,2025-12,MoM,LT,2026-01-16,0.205,0.15,-0.115,-0.021,0.086,0.704,0.869,1.0,-0.1514,-0.1514,-0.1514,2888.432877,59
Will Canada's annual inflation increase by ≤2.0% in December,2025-12,YoY,LT,2026-01-16,2.573,0.158,2.58,2.677,0.0,0.004,0.32,0.0,0.3003,0.3003,0.3003,2671.427482,45
Will the Eurozone's monthly inflation be 0.1% in December?,2025-12,MoM,BUCKET,2026-01-16,0.205,0.15,-0.115,-0.021,0.207,0.112,0.186,0.0,-0.2064,0.1664,0.1664,2556.107403,30
Will China's monthly inflation increase by ≤0.0% in December,2025-12,MoM,LT,2026-01-07,0.205,0.15,-0.115,-0.021,0.086,0.704,0.307,0.0,0.2873,-0.3273,-0.3273,2489.362114,70
Will Canada's monthly inflation increase by 0.2% in December,2025-12,MoM,BUCKET,2026-01-16,0.205,0.15,-0.115,-0.021,0.262,0.064,0.014,0.0,-0.0338,-0.0338,-0.0062,2112.344712,91
